cohort,agent,t_offset_s
active,9,57319.0
active,7,57322.25
active,5,57491.267
active,0,57540.559
active,5,57624.173
active,7,57637.294
active,1,57663.328
active,1,57720.561
active,4,57854.616
active,1,57905.162
active,3,57911.701
active,6,57915.287
active,1,57960.492
active,0,58080.647
active,2,58094.076
active,4,58094.569
active,0,58140.699
active,6,58216.257
active,2,58225.102
active,4,58275.022
active,3,58321.256
active,1,58380.77
active,5,58390.571
active,2,58394.373
active,4,58394.673
active,7,58528.25
active,0,58561.026
active,5,58691.115
active,1,58740.637
active,4,58754.896
active,3,58808.76
active,0,58920.772
active,0,58980.583
active,1,59041.004
active,4,59054.73
active,3,59111.185
active,8,59119.111
active,4,59129.89
active,3,59281.149
active,0,59341.237
active,2,59353.772
active,1,59460.699
active,3,59463.849
active,1,59520.902
active,5,59591.177
active,4,59594.493
active,3,59710.366
active,9,59718.117
active,2,59721.64
active,3,59761.363
active,5,59830.959
active,2,60021.522
active,7,60022.687
active,4,60026.833
active,5,60071.263
active,2,60074.361
active,0,60120.844
active,1,60121.164
active,5,60190.963
active,1,60240.598
active,3,60241.151
active,4,60254.943
active,2,60494.199
active,2,60554.047
active,4,60554.401
active,1,60721.205
active,2,60794.011
active,1,60841.36
active,5,60850.68
active,2,60922.08
active,1,60961.182
active,3,60961.373
active,5,61031.406
active,2,61033.672
active,4,61034.503
active,3,61081.166
active,0,61141.299
active,4,61154.433
active,2,61277.115
active,2,61333.992
active,0,61380.756
active,4,61454.871
active,1,61504.721
active,4,61530.289
active,5,61571.118
active,4,61575.391
active,1,61620.547
active,2,61633.613
active,5,61691.332
active,5,61751.09
active,1,61805.282
active,6,61813.864
active,4,61828.359
active,1,61861.018
active,3,61861.209
active,3,61921.121
active,0,61980.764
active,1,61981.379
active,0,62041.001
active,1,62108.339
active,5,62117.846
active,8,62125.692
active,4,62138.91
active,1,62160.708
active,0,62160.793
active,5,62170.935
active,1,62221.184
active,4,62235.002
active,1,62280.708
active,3,62341.07
active,0,62400.574
active,1,62405.581
active,3,62461.16
active,1,62580.679
active,2,62593.896
active,8,62715.37
active,1,62760.625
active,1,62820.642
active,0,62820.82
active,4,62955.002
active,3,63063.998
active,3,63121.234
active,0,63180.763
active,2,63254.303
active,1,63304.87
active,8,63315.169
active,9,63318.349
active,4,63328.249
active,2,63374.625
active,4,63494.999
active,2,63553.527
active,3,63608.749
active,6,63614.448
active,8,63616.682
active,3,63661.311
active,4,63674.586
active,5,63731.468
active,2,63734.651
active,2,63794.012
active,4,63854.924
active,3,63915.556
active,5,63917.613
active,6,63918.717
active,4,64095.016
active,2,64154.29
active,1,64205.366
active,2,64224.073
active,0,64261.299
active,0,64381.019
active,3,64381.324
active,1,64504.645
active,7,64524.758
active,0,64620.701
active,2,64634.317
active,0,64680.554
active,1,64681.185
active,5,64690.651
active,4,64695.074
active,8,64834.624
active,7,64838.294
active,1,64860.784
active,5,64870.919
active,0,64980.579
active,3,64981.08
active,5,65051.215
active,3,65220.961
active,0,65221.088
active,0,65281.033
active,5,65351.039
active,3,65411.599
active,8,65418.686
active,3,65461.146
active,3,65521.234
active,3,65581.084
active,2,65593.578
active,0,65641.112
active,4,65739.517
active,1,65760.839
active,2,65774.167
active,2,65833.995
active,1,65880.502
active,4,65894.425
active,0,65940.847
active,4,65954.934
active,4,66075.151
active,0,66121.14
active,5,66191.419
active,4,66194.901
active,0,66240.741
active,4,66254.524
active,3,66309.493
active,5,66313.774
active,9,66319.577
active,7,66322.384
active,1,66421.377
active,1,66481.206
active,0,66540.713
active,4,66554.744
active,8,66627.348
active,2,66674.622
active,3,66781.235
active,4,66794.884
active,3,66841.315
active,2,66925.082
active,4,66930.092
active,3,67021.184
active,6,67214.912
active,8,67216.461
active,9,67219.729
active,7,67222.601
active,3,67261.243
active,4,67275.095
active,3,67321.155
active,4,67335.253
active,3,67514.673
active,9,67528.838
active,5,67570.541
active,1,67620.969
active,2,67633.761
active,3,67812.672
active,5,67813.819
active,4,67994.98
active,0,68101.056
active,1,68105.435
active,3,68112.002
active,5,68113.851
active,8,68119.42
active,2,68124.24
active,7,68125.353
active,5,68231.235
active,3,68341.139
active,2,68353.501
active,4,68355.017
active,2,68439.123
active,9,68441.103
active,4,68483.55
active,0,68520.812
active,3,68523.84
active,1,68580.559
active,2,68654.194
active,0,68701.187
active,3,68716.416
active,9,68727.021
active,1,68761.002
active,3,68764.471
active,2,68774.893
active,4,68777.403
active,2,68834.773
active,4,68957.409
active,0,69000.743
active,7,69026.042
active,0,69061.011
active,3,69064.86
active,5,69070.606
active,0,69121.051
active,1,69241.007
active,3,69244.412
active,5,69250.649
active,0,69300.639
active,8,69325.645
active,5,69371.037
active,4,69384.215
active,4,69497.611
active,5,69550.986
active,5,69615.128
active,7,69626.372
active,4,69633.359
active,1,69840.745
active,4,69929.759
active,1,70021.164
active,1,70080.803
active,6,70224.624
active,4,70240.182
active,4,70284.411
active,2,70394.301
active,4,70456.719
active,1,70505.093
active,6,70515.982
active,8,70517.329
active,2,70524.439
active,7,70525.464
active,2,70574.993
active,0,70680.887
active,2,70694.87
active,2,70754.274
active,5,70814.067
active,0,70860.927
active,3,70864.371
active,5,70870.715
active,4,70877.427
active,3,70984.451
active,2,70995.417
active,1,71040.778
active,0,71040.778
active,3,71044.143
active,5,71124.543
active,3,71132.51
active,7,71146.826
active,1,71220.873
active,1,71280.848
active,4,71296.8
active,1,71340.811
active,5,71351.363
active,4,71357.955
active,3,71415.951
active,7,71428.751
active,5,71471.022
active,4,71536.599
active,3,71644.152
active,2,71655.322
active,8,71730.566
active,4,71741.339
active,0,71760.832
active,5,71771.336
active,2,71775.035
active,5,71831.336
active,0,71880.931
active,3,71883.999
active,5,71950.646
active,9,72034.154
active,4,72042.517
active,2,72071.066
active,1,72120.754
active,0,72180.453
active,3,72306.6
active,5,72311.27
